case,iteration,prompt_tokens,output_tokens,prefill_ms,ttft_ms,tpot_ms,decode_ms,decode_tokens_per_second,total_ms,itl_mean_ms
s049,0,13,9,36.983197,37.122034,3.031772625,24.254181,329.840038713,61.376215,
s049,1,13,9,37.001458,37.150315,3.028230625,24.225845,330.225839388,61.37616,
s049,2,13,9,37.002194,37.141033,3.031244375,24.249955,329.897519397,61.390988,
s055,0,32,331,92.359137,92.497999,3.59338307273,1185.816414,278.289283319,1278.314413,
s055,1,32,331,92.363954,92.502836,3.59446164848,1186.172344,278.205778165,1278.67518,
s055,2,32,331,92.364007,92.502905,3.59415785152,1186.072091,278.229293568,1278.574996,
s057,0,24,222,68.858334,68.997283,3.40711539819,752.972503,293.50341363,821.969786,
s057,1,24,222,69.185985,69.3254,3.40594831222,752.714577,293.603985831,822.039977,
s057,2,24,222,69.192817,69.322942,3.40563499095,752.645333,293.630997643,821.968275,
s080,0,27,491,77.98249,78.132183,3.86118529796,1891.980796,258.9878296,1970.112979,
s080,1,27,491,77.979624,78.118501,3.86189503469,1892.328567,258.940232973,1970.447068,
s080,2,27,491,78.000912,78.141341,3.86127707755,1892.025768,258.981673658,1970.167109,
s093,0,742,391,3011.077203,3011.21991,6.15592409487,2400.810397,162.445147891,5412.030307,
s093,1,742,391,3011.355877,3011.508621,6.15493099487,2400.423088,162.471358466,5411.931709,
s093,2,742,391,3026.471941,3026.611005,6.19071462821,2414.378705,161.532239823,5440.98971,
s099,0,42,111,123.046872,123.189015,3.30627156364,363.689872,302.455494279,486.878887,
s099,1,42,111,123.044387,123.186451,3.30712197273,363.783417,302.377719433,486.969868,
s099,2,42,111,123.059033,123.189492,3.30763503636,363.839854,302.330816129,487.029346,
