case,iteration,prompt_tokens,output_tokens,prefill_ms,ttft_ms,tpot_ms,decode_ms,decode_tokens_per_second,total_ms,itl_mean_ms
s049,0,13,9,37.352792,37.491742,3.061344625,24.490757,326.653847409,61.982499,3.061344625
s049,1,13,9,37.377082,37.516128,3.059794375,24.478355,326.819347133,61.994483,3.059794375
s049,2,13,9,37.358457,37.500598,3.063540875,24.508327,326.419669527,62.008925,3.063540875
s055,0,32,331,93.258714,93.400894,3.63094121212,1198.2106,275.41068323,1291.611494,3.630941212121212
s055,1,32,331,93.257642,93.387718,3.63059362121,1198.095895,275.437050888,1291.483613,3.630593621212121
s055,2,32,331,93.259232,93.398152,3.6319422,1198.540926,275.33477818,1291.939078,3.6319422
s057,0,24,222,69.518297,69.675024,3.42455170588,756.825927,292.009023628,826.500951,3.424551705882353
s057,1,24,222,69.535882,69.678035,3.42725452036,757.423249,291.778738363,827.101284,3.427254520361991
s057,2,24,222,69.540277,69.69165,3.42637835294,757.229616,291.853349803,826.921266,3.4263783529411764
s080,0,27,491,78.418486,78.5606,3.88527445306,1903.784482,257.382074827,1982.345082,3.8852744530612244
s080,1,27,491,78.383679,78.522579,3.88597843878,1904.129435,257.335447367,1982.652014,3.8859784387755103
s080,2,27,491,78.379741,78.521863,3.90406284694,1912.990795,256.143417564,1991.512658,3.9040628469387757
s093,0,742,391,3044.725801,3044.868164,6.22925792051,2429.410589,160.532765341,5474.278753,6.22925792051282
s093,1,742,391,3044.709749,3044.848747,6.22805535897,2428.94159,160.56376226,5473.790337,6.228055358974359
s093,2,742,391,3044.534997,3044.674022,6.22863371538,2429.167149,160.548853199,5473.841171,6.228633715384615
s099,0,42,111,123.694214,123.836694,3.32338174545,365.571992,300.898324837,489.408686,3.3233817454545456
s099,1,42,111,123.704627,123.861039,3.32494886364,365.744375,300.756505141,489.605414,3.3249488636363638
s099,2,42,111,123.720826,123.862961,3.32559111818,365.815023,300.698421563,489.677984,3.3255911181818183
